Package,File Name,Application Name,Generic Name
0ad,0ad.desktop,0 A.D.,
0install,0install.desktop,0install,Installer
2048,2048.desktop,2048,
2048-qt,2048-qt.desktop,2048-Qt,2048-Qt
3dchess,3dchess.desktop,3D Chess,
3depict,3depict.desktop,3depict,
4pane,4Pane.desktop,4Pane,File Manager
7kaa,7kaa.desktop,Seven Kingdoms,Strategy Game
a7xpg,a7xpg.desktop,A7Xpg,chase action game
abe,abe.desktop,Abe's Amazing Adventure,
abiword,abiword.desktop,AbiWord,Word Processor
accerciser,accerciser.desktop,Accerciser,
accountwizard,org.kde.accountwizard.desktop,Account Wizard,
ace-of-penguins,penguin-canfield.desktop,Penguin Canfield,
ace-of-penguins,penguin-freecell.desktop,Penguin Freecell,
ace-of-penguins,penguin-golf.desktop,Penguin Golf,
ace-of-penguins,penguin-mastermind.desktop,Penguin Mastermind,
ace-of-penguins,penguin-merlin.desktop,Penguin Merlin,
ace-of-penguins,penguin-minesweeper.desktop,Penguin Minesweeper,
ace-of-penguins,penguin-pegged.desktop,Penguin Pegged,
ace-of-penguins,penguin-solitaire.desktop,Penguin Solitaire,
ace-of-penguins,penguin-spider.desktop,Penguin Spider,
ace-of-penguins,penguin-taipei-editor.desktop,Penguin Taipei-Editor,
ace-of-penguins,penguin-taipei.desktop,Penguin Taipei,
ace-of-penguins,penguin-thornq.desktop,Penguin Thornq,
acetoneiso,AcetoneISO.desktop,AcetoneISO,CD/DVD image manipulator
achilles,achilles.desktop,Achilles Life Simulator,Life Simulator
aclock.app,AClock.desktop,AClock,
aconnectgui,aconnectgui.desktop,Aconnectgui,
actiona,actiona.desktop,Actiona,Automation Tool
addressmanager.app,AddressManager.desktop,AddressManager,
adonthell-data,org.nongnu.wastesedge.desktop,Waste's Edge,
adun.app,UL.desktop,Adun,
aegisub,aegisub.desktop,Aegisub,Subtitle Editor
aeolus,aeolus.desktop,Aeolus,
aeskulap,aeskulap.desktop,Aeskulap Viewer,
afterstep,AfterStep.desktop,AfterStep,
agenda.app,SimpleAgenda.desktop,SimpleAgenda,
aghermann,aghermann.desktop,Aghermann,Sleep research experiment manager
aghermann,edfhed-gtk.desktop,Edfhed,EDF file header editor
airstrike,airstrike.desktop,Airstrike,
aisleriot,sol.desktop,AisleRiot Solitaire,
akira,com.github.akiraux.akira.desktop,Akira,Akira App
akonadi-import-wizard,org.kde.akonadiimportwizard.desktop,KMail Import Wizard,
akonadiconsole,org.kde.akonadiconsole.desktop,Akonadi Console,
akregator,org.kde.akregator.desktop,Akregator,Feed Reader
alacarte,alacarte.desktop,Main Menu,
aladin,aladin.desktop,Aladin,Planetarium
alex4,alex4.desktop,Alex the Allegator 4,
algobox,algobox.desktop,AlgoBox,Algorithmics introduction software
alien-arena,alien-arena.desktop,Alien Arena,
alienblaster,alienblaster.desktop,AlienBlaster,2D Action Shooter
aliki,aliki-alsa.desktop,Aliki (with ALSA support),Aliki
aliki,aliki-jack.desktop,Aliki (with JACK support),Aliki
allure,allure.desktop,Allure of the Stars,
almanah,almanah.desktop,Almanah Diary,Diary
alsa-tools-gui,echomixer.desktop,Echomixer,Control Echo Digital Audio sound cards
alsa-tools-gui,envy24control.desktop,Envy24 Control,Envy24 Control Utility
alsa-tools-gui,hdajackretask.desktop,HDAJackRetask,
alsa-tools-gui,hdspconf.desktop,HDSPConf,
alsa-tools-gui,hdspmixer.desktop,HDSPMixer,
alsa-tools-gui,rmedigicontrol.desktop,Rmedigicontrol,
alsamixergui,alsamixergui.desktop,Alsamixergui,
alsaplayer-common,alsaplayer.desktop,Alsaplayer,
altos,altusmetrum-altosui.desktop,AltOS UI,Altus Metrum Ground Station
altos,altusmetrum-micropeak.desktop,MicroPeak,MicroPeak Download and Analysis
altos,altusmetrum-telegps.desktop,TeleGPS,"TeleGPS monitor, download and analysis"
amide,amide.desktop,Amide,Medical Image Examiner
amoebax,amoebax.desktop,Amoebax,Computer Puzzle Game
amphetamine,amphetamine.desktop,Amphetamine,Jump and Run game
ams,ams.desktop,Alsa Modular Synth,
amsynth,amsynth.desktop,amsynth,Analog Modelling SYNTHesizer
amule,amule.desktop,aMule,
amule-utils-gui,alc.desktop,aLinkCreator,
amule-utils-gui,amulegui.desktop,aMuleGUI,
amule-utils-gui,wxcas.desktop,wxCas,
anarchism,anarchism.desktop,An Anarchist FAQ,Anarchism
anbox,anbox.desktop,Anbox,Application Manager
android-file-transfer,android-file-transfer.desktop,Android File Transfer (MTP),
angband,angband-sdl.desktop,Angband (SDL),
angband,angband-x11.desktop,Angband (X11),
angrydd,angrydd.desktop,Angry Drunken Dwarves,
anjuta,anjuta.desktop,Anjuta,Integrated Development Environment
anki,anki.desktop,Anki,Flashcards
antigravitaattori,antigravitaattori.desktop,Antigravitaattori,
antimicro,io.github.antimicrox.antimicrox.desktop,AntiMicroX,
antimony,antimony.desktop,Antimony,CAD tool
anymeal,de.wedesoft.anymeal.desktop,anymeal,Recipe Manager
aobook,aobook.desktop,aobook,
aoflagger,aoqplot.desktop,AOQPlot,Radio data analyzer
aoflagger,rfigui.desktop,AOFlagger GUI,
apitrace-gui,qapitrace.desktop,Apitrace Retracer,
apper,org.kde.apper.desktop,Apper,Software Management
apper,org.kde.apper_installer.desktop,Apper Installer,Software Management
apper,org.kde.apper_settings.desktop,Apper Settings,Software Management
apper,org.kde.apper_updates.desktop,Apper Updates,Software Management
apt-offline-gui,apt-offline-gui.desktop,APT Offline,APT Offline
apvlv,apvlv.desktop,apvlv,
aqemu,aqemu.desktop,AQEMU,QEMU & KVM Virtual Machine Manager
aqsis,aqsis.desktop,Aqsis Renderer,RenderMan Renderer
aqsis,aqsl.desktop,Aqsis Shader Compiler,RenderMan Shader Compiler
aqsis,aqsltell.desktop,Aqsis Shader Inspector,RenderMan Shader Inspector
arandr,arandr.desktop,ARandR,Screen Settings
aranym,aranym-jit.desktop,ARAnyM JIT,
aranym,aranym-mmu.desktop,ARAnyM MMU,
aranym,aranym.desktop,ARAnyM,
arb,arb.desktop,ARB,
arc-gui-clients,arccert-ui.desktop,ARC Certificate Utility,Certificate Utility
arc-gui-clients,arcproxy-ui.desktop,ARC Proxy Generator,Proxy generator
arc-gui-clients,arcstat-ui.desktop,ARC Job Manager,Job Manager
arc-gui-clients,arcstorage-ui.desktop,ARC Storage Explorer,Remote File Browser
arc-gui-clients,arcsub-ui.desktop,ARC Job Submission Tool,Job Submission Tool
ardentryst,Ardentryst.desktop,Ardentryst,
