kName	kCode	xCode	xKey	xSym
=====	=====	=====	====	====
KEY_RESERVED	0			
KEY_ESC	1	9	ESC	
KEY_1	2	10	AE01	
KEY_2	3	11	AE02	
KEY_3	4	12	AE03	
KEY_4	5	13	AE04	
KEY_5	6	14	AE05	
KEY_6	7	15	AE06	
KEY_7	8	16	AE07	
KEY_8	9	17	AE08	
KEY_9	10	18	AE09	
KEY_0	11	19	AE10	
KEY_MINUS	12	20	AE11	
KEY_EQUAL	13	21	AE12	
KEY_BACKSPACE	14	22	BKSP	[ BackSpace, BackSpace, Delete ]
KEY_TAB	15	23	TAB	
KEY_Q	16	24	AD01	
KEY_W	17	25	AD02	
KEY_E	18	26	AD03	
KEY_R	19	27	AD04	
KEY_T	20	28	AD05	
KEY_Y	21	29	AD06	
KEY_U	22	30	AD07	
KEY_I	23	31	AD08	
KEY_O	24	32	AD09	
KEY_P	25	33	AD10	
KEY_LEFTBRACE	26	34	AD11	
KEY_RIGHTBRACE	27	35	AD12	
KEY_ENTER	28	36	RTRN	
KEY_LEFTCTRL	29	37	LCTL	
KEY_A	30	38	AC01	
KEY_S	31	39	AC02	
KEY_D	32	40	AC03	
KEY_F	33	41	AC04	
KEY_G	34	42	AC05	
KEY_H	35	43	AC06	
KEY_J	36	44	AC07	
KEY_K	37	45	AC08	
KEY_L	38	46	AC09	
KEY_SEMICOLON	39	47	AC10	
KEY_APOSTROPHE	40	48	AC11	
KEY_GRAVE	41	49	TLDE	
KEY_LEFTSHIFT	42	50	LFSH	
KEY_BACKSLASH	43	51	BKSL	
KEY_Z	44	52	AB01	
KEY_X	45	53	AB02	
KEY_C	46	54	AB03	
KEY_V	47	55	AB04	
KEY_B	48	56	AB05	
KEY_N	49	57	AB06	
KEY_M	50	58	AB07	
KEY_COMMA	51	59	AB08	
KEY_DOT	52	60	AB09	
KEY_SLASH	53	61	AB10	
KEY_RIGHTSHIFT	54	62	RTSH	
KEY_KPASTERISK	55	63	KPMU	[ KP_Multiply ]
KEY_LEFTALT	56	64	LALT	
KEY_SPACE	57	65	SPCE	
KEY_CAPSLOCK	58	66	CAPS	
KEY_F1	59	67	FK01	[ XF86Back ]
KEY_F2	60	68	FK02	[ XF86Forward ]
KEY_F3	61	69	FK03	[ XF86Reload ]
KEY_F4	62	70	FK04	[ F11 ]
KEY_F5	63	71	FK05	
KEY_F6	64	72	FK06	[ XF86MonBrightnessDown ]
KEY_F7	65	73	FK07	[ XF86MonBrightnessUp ]
KEY_F8	66	74	FK08	[ XF86AudioMute ]
KEY_F9	67	75	FK09	[ XF86AudioLowerVolume ]
KEY_F10	68	76	FK10	[ XF86AudioRaiseVolume ]
KEY_NUMLOCK	69	77	NMLK	
KEY_SCROLLLOCK	70	78	SCLK	
KEY_KP7	71	79	KP7	[ KP_7 ]
KEY_KP8	72	80	KP8	[ KP_8 ]
KEY_KP9	73	81	KP9	[ KP_9 ]
