filename,size,timestamp,downloads,type,version,dependencies,description,status,DL_per_day,megabytes
Invasion_from_the_Unknown,9052771,1624050445,20824,campaign,2.1.13.1,IftU_Music,"Long after the Fall, the last forest elves on the Great Continent are forced to abandon their secluded home and forge an unprecedented alliance in hopes of retaliating against the great evil that has befallen Irdya. But even then, they will require more than one ancient power to aid them in their quest...

(Intermediate level, 24 scenarios.)

Although not strictly required, players are advised to become familiar with the stories, characters, and historical events presented in Descent into Darkness and Under the Burning Suns before playing this campaign.

Requires Wesnoth 1.14.3 or later (on 1.14.x), or Wesnoth 1.15.12 or later (on 1.15.x).

NOTE: Support for Wesnoth 1.15.x is experimental, and you MUST report all issues in the campaign’s discussion thread.

Discussion threads in the Wesnoth.org forums:

 • Main discussion thread: ‹https://r.wesnoth.org/t43309›
 • Feedback thread: ‹https://r.wesnoth.org/t43307›",,19.4035438123483,8.63339519500732
A_Group_in_a_War,383708,1624677085,10398,campaign,0.2.1k,Tamanegi_Jukebox,"You are the leader of a small troop. Lead your troop to finish the war. 

A simple RPG style campaign. There are some strange features in the gameplay, so the first time players should not choose Hard level.
UMC Music Books (especially 1 and 8-11) are not required but recommended.",,9.75464926845603,0.365932464599609
A_Fiery_Birth,1114875,1624845412,9601,campaign,1.3,,"A scholar of the Great Academy journeys to the land of the Drakes to discover their secret origins.

This is a campaign designed to give players experience in the Drake/Saurian faction. The first level is a bonus level with a fire dragon. 9 scenarios.",,9.02345373899735,1.06322765350342
Legend_of_the_Invincibles,15147380,1641425181,19319,campaign,3.2.7d,,"Sometimes, people don't embrace the tempting powers of darkness because of desires to rule, but merely for survival. Can the dark powers be used to fight against dark schemes with no limits or will they eventually corrupt its users?

A massive 200 scenarios long campaign divided into 2 parts, each of them consisting of five substories. The chapters offer a varied character development and changing strategies throughout. Although preserving the traditional Wesnoth gameplay, there are also many powerful items to collect, as well as a level-up system for all units that goes beyond the L3 limit. Your recalls will be all the more unique and fun to use due to the many power-ups obtained throughout this campaign.

Also contains two coop multiplayer scenarios related to the campaign.

The campaign has two spin-offs, 'The Beautiful Child' and 'Affably Evil'. The campaign 'Kill the King' is also related.",,22.1520338667957,14.4456672668457
Attack_of_the_Undead,37855,1625245161,4242,campaign,1.3.6,,"Play as a mage to protect your city from the undead.

(Novice level, 4 scenarios.)",,4.00423536323781,0.0361013412475586
Genesis,3577497,1634973478,6898,campaign,0.2.12,Genesis_Resources,"This campaign is the prequel to Invasion from the Unknown and After the Storm.

In the cycle before our own, the civilization of the First Gods was eradicated by a cataclysmic force that was beyond their control. On the brink of utter destruction, the few survivors harnessed the ten aspects of creation to end their cycle and shape the development of a new universe. In the process, however, many errors were introduced into the fabric of the new worlds, which would eventually resurface when the Guardians of the new universe began to unveil the secrets of their creation.

(Expert level, Episode 1 - 23 scenarios)

Wesnoth 1.14.0 or later required.

Discussion thread in the Wesnoth.org forums: http://forums.wesnoth.org/viewtopic.php?f=8&t=43023",,7.2857318944421,3.41176700592041
A_Goblin_Adventure,569293,1642722365,3596,campaign,1.8.1,,"All your wolves are gone, and you have to find them back ! 

Short campaign - 5 levels (1 dialog-only)

3 new goblin units are evolving in this campaign alongside the mainline ones.

The campaign may need some balance, I'm still working on it.

Except the Goblin Archer and the portraits wich are from some different campaigns and eras, Artwork is from myself.",,4.19556350660904,0.542920112609863
Saving_Elensefar,631644,1625245157,4258,campaign,2.3.2,,"Meneldur, elvish mariner of Elensefar, is driven to sea by the same orcs who attacked the city. He must gather an army willing to fight for him to regain Elensefar, his adopted homeland.

(Expert level, 4 - 22 scenarios.)",,4.0193383855626,0.602382659912109
An_Independence_War,584247,1624677095,4179,campaign,0.3.3b,Tamanegi_Jukebox,"Fight against the world to save your people.
This is a sequel to A Group in a War campaign.

Intermediate to Expert level (containing very strange features).
The game system is completely different from the standard of BfW.
Main units in this campaign are troops which consist of multiple units.

Tamanegi Jukebox addon is required.
UMC Music Books (1-12) and West's Chronicles (I and II) are not required but recommended to install.",,3.92043505665411,0.557181358337402
Add_s_Army,925812,1640527250,3741,campaign,1.1-1,,"Add, a wounded paladin, is posted to the quiet and remote province of Cormell to recover.  But when undead creatures start appearing, it's up to Add to do something about it... with whatever motley forces he can muster.  Novice level, 8 scenarios. This upload is part of vghetto port project.",,4.23908264320224,0.882923126220703
