Tags,Package,Name,Verdict,Useful?/Replayable?,Best?,REPL-less?,GUI?,Windowed?,Starts fast?,Runs fast?,Install Cost,Home Cost,Rank,Notes
--------------------,--------------------,UNKNOWN POPULARITY,----,----,----,----,----,----,----,----,----,----,----,--------------------
education music,audacity,Sound Editor,PASS?,Yes,Yes?,FIXME,Yes,Yes,Yes,Yes,13,FIXME,2837,"Pretty basic but simple and very popular.  FIXME: Not ever seen in prod popcon database?"
--------------------,--------------------,EXTREMELY POPULAR,----,----,----,----,----,----,----,----,----,----,----,--------------------
games strategy,endless-sky,Escape Velocity clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,69,-,19560,"EXTREMELY POPULAR (months per site-year).  Shrug"
games strategy,naev,Escape Velocity clone,FAIL,,No,,,,,,350,,30392,"Big.  Ugly. Prefer endless-sky."
games card GNOME,aisleriot,Solitaire,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,-,3231,"EXTREMELY POPULAR (months per site-year). Part of gnome-games; probably the best solitaire game."
games card finest,pysolfc,Solitaire,FAIL,,,,,,,,17,,10055,"Prefer aisleriot.  Fails to start with: ModuleNotFoundError: No module named 'pysollib'"
games card,xsol,Solitaire,FAIL,,,,,,,,2,,23070,"REALLY ugly.  Prefer aisleriot."
games card,xpat2,Solitaire,FAIL,,,,,,,,1,,20786,"REALLY ugly.  No .desktop.  Prefer aisleriot."
games KDE,kpat,Solitaire (Patience),FAIL,,,,,,,,29,,6052,"Basically OK, but prefer aisleriot."
games KDE,lskat,Solitaire,FAIL,,,,,,,,27,,12109,"This has some kind of weird adversarial 2P mode?  Fuck it, let's stick with the GTK-based solitaire (aisleriot)."
games finest platform racing,xmoto,ElastoMania clone,PASS,Yes,Yes,Yes,Yes,Yes,No,Yes,46,,18343,"EXTREMELY POPULAR (months per site-year).  Shrug.  Start slowly the first time because it copies a bunch of shit into $HOME.  Offers to do internet (bad), but does not work (good)."
--------------------,--------------------,VERY POPULAR,----,----,----,----,----,----,----,----,----,----,----,--------------------
games finest racing,supertuxkart,Mario Kart clone,PASS?,Yes,Yes,Yes,Yes,Yes,No,No,650,,7392,"VERY POPULAR (weeks per site-year).  Poor frame rate -- not really acceptable!  Offers to go online when you first run it.  FIXME: The install size is huge because this pulls in Noto fonts for no good reason.  If we fix that, the cost will go down from 600MB to 300MB!"
games finest strategy PrisonPC,prisonpc-warzone2100-addons,Warzone 2100,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,140,2,14872,"VERY POPULAR (weeks per site-year). RTS from the Playstation 1; campaign; skirmish versus AI. REPL is in-game only  PrisonPC adds better textures and more skirmish maps (doubling install cost)."
games strategy,boswars,Command & Conquer clone,PASS?,,No,Yes,Yes,Yes,Yes,Yes,73,,22899,"LARGE!  Pixel art assets.  Plays OK I guess?  There are about 50 maps but most are multiplayer, and multiplayer needs network.  I think warzone is probably better overall.  This is a clone of an older RTS game; Warzone is literally the paid game that later went open-source."
games finest strategy PrisonPC,prisonpc-wesnoth-addons,The Battle for Wesnoth,PASS,Yes,Yes,Yes,Yes,Yes,No(ish),Yes,530,-,183514,"VERY POPULAR (weeks per site-year). PrisonPC adds more campaigns (Install Cost 270 -> 630)"
games finest simulation strategy PrisonPC,prisonpc-openttd-extras,Transport Tycoon,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,160,,12169,"VERY POPULAR (weeks per site-year). PrisonPC adds more AIs, maps, features (Install Cost is 20 -> 160)"
games simulation,simutrans,Transport Tycoon,FAIL,Yes,No?,,,,,,400,,21836,"Very similar to OpenTTD (which we already ship).  OpenTTD has a lot more 'little' packages, including music and Australian maps.  With all assets (https://www.simutrans.com/en/paksets/) Install Cost jumps from 13MB to around 400MB (whereas openttd w/ many assets is 160MB)."
games puzzle GNOME,gnome-mahjongg,Mahjong Solitaire,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,,3895,"VERY POPULAR (weeks per site-year)"
games KDE,kmahjongg,Mahjong Solitaire,FAIL,,,,,,,,25,,7928,"Prefer gnome-mahjongg"
games board,xmahjongg,Mahjong Solitaire,FAIL,,,,,,,,1,,13616,"Ugly.  Prefer gnome-mahjongg"
games KDE,kshisen,,FAIL,,,,,,,,22,,8057,"Variant of Mahjong Solitaire.  Gives 2 errors on startup, then works.  KDE.  Not interesting enough."
games chess GNOME,gnome-chess,Chess,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-,4124,"VERY POPULAR (weeks per site-year)  2-player hotseat, or AI.  AI support includes crafty, fairymax, fruit, glaurung, gnuchess, hoichess, phalanx, sjeng, stockfish, toga2.  No Shogi or Go support.  Board looks simple, but not ugly.  Modern toolkit.  FIXME: what about ethereal-chess and sjaakii??? (ask upstream to patch them into /etc/gnome-chess/engines.conf)  FIXME: gnuchess Recommends gnuchess-book; we should include that."
games board chess,3dchess,Chess,FAIL,,No,,,,,,,,,"Boring. Ugly."
games board chess,brutalchess,Chess,FAIL,,No,,,,,,,,,"3D, but cannot move viewing angle.  Cannot change engine.  Can only fight AI.  No menus.  No configuration."
games chess,chessx,Chess Database,FAIL,,,,,,,,,,,"Scary complicated.  For mega chess nerds."
education logic-games games board chess,xboard,Chess,FAIL,,No,,,,,,,,,"Like gnome-chess but a little less polished.  Only unique feature appears to be AI-vs-AI.  Prefer gnome-chess."
games chess finest,dreamchess,Chess,FAIL,,No,,,,,,,,,"Like brutalchess -- 3D, but ugly and not configurable."
games board chess,eboard,Chess,FAIL,,No,,,,,,,,,"Between xboard and gnome-chess.  Prefer gnome-chess."
games chess,tagua,Chess & Shogi,FAIL,,,,,,No,,27,,,"KDE/Qt.  Messy.  Does shogi.  Takes a long time to start.  Does not auto-detect AI engines (e.g. fairymax).  Only useful if we want shogi."
games board chess,scid,Chess,FAIL,,No,,,,,,,,,"Ugly TCL/Tk toolkit.  Prefer gnome-chess."
games chess,pychess,Chess,FAIL,,No!,,,,,,80,,10416,"Includes text editor (libgtksourceview-3.0-1).  Includes compiler (c-compiler, c++-compiler, build-essential, make, dpkg-dev).  FIXME: debian-11-install-footprint.py wrongly thinks this is installable?"
games board chess,xshogi,Shogi,FAIL,,,,,,,,,,,"Fails to start because needs legacy (1980s) X font subsystem (not Xft).  Not worth considering further."
science chemistry,galculator,Calculator,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,-,3971,"VERY POPULAR (weeks per site-year).  Basic desktop calculator app; we always pre-install it."
-,xfce4-dict,Dictionary,FAIL,Yes,No,,,,,,,,,"VERY POPULAR (weeks per site-year).  We used this for airgapped sites from Knoppix 3 through to Debian 9.  We do not support it anymore, because 1) it requires extra firewall rules; 2) available dictd dictionaries are from the pre-Disney era (OVER A CENTURY OUT OF DATE); and 3) we support and recommend 'just whitelist https://en.wiktionary.org/ (read-only).  (Unfortunately https://www.macquariedictionary.com.au/ requires an account)."
games finest platform,blobwars,Blob Wars,PASS,Yes,,Yes,Yes,Yes,Yes,Yes,69,,21838,"VERY POPULAR (weeks per site-yaer).  Has some minor advertising in it now."
games arcade finest,lbreakout2,Arkanoid (Breakout) clone,PASS,Yes,Yes?,Yes,Yes,Yes,Yes,Yes,11,,16083,"VERY POPULAR (weeks per site-year)."
games PrisonPC,gnome-breakout,Arkanoid (Breakout) clone,PASS,Yes,Yes?,Yes,Yes,Yes,Yes,Yes,1,,26841,"This is written for gnome2 NOT gnome3 (but it is GTK3).  Cannot resize or fullscreen.  Has multiple levels and pickups, but maybe not as many as lbreakout2?"
games arcade,sdl-ball,Arkanoid (Breakout) clone,PASS?,Yes,Yes?,,,No,,,12,,23512,"Best alternative to lbreakout2 I've seen so far.  Defaults to fullscreen.  Only has two resolutions, both 4:3 not 16:9."
games arcade,briquolo,Arkanoid (Breakout) clone,FAIL,Yes,No,,,,,,12,,24651,"3D rendering.  Slightly ugly.  Few levels.  Functional, but prefer lbreakout2."
games KDE,kbreakout,Arkanoid (Breakout) clone,FAIL,Yes,No,,,,,,22,,11721,"Basically fine, but lbreakout2 seems a little bit nicer."
games arcade,krank,Arkanoid (Breakout) clone,FAIL,No!,No,,,,,,72,,31301,"Huge install footprint and you only get 5 levels!"
games GNOME,gnome-sudoku,Sudoku,PASS,Yes,Yes,Yes,Yes,Yes,Yse,Yes,1,-,4455,"VERY POPULAR (weeks per site-year).  Decent PDF printout for offline play.  Can't write exclusion numbers into corner?  gnudoq alternative is gone.    NOTE: gcompris-qt also has this under Penguin > Logic > Sudoku."
games KDE,ksudoku,Sudoku,FAIL,Yes,No,Yes,Yes,Yes,Yes,Yes,22,,10087,"Messier / more confusing UX than gnome-sudoku.   Can do exclusion numbers with shift+digit.  Has different game styles.  The play area theme is a bit uglier.  Overall, I think I prefer gnome-sudoku, even though it has fewer features."
games fps,freedoom,DOOM clone (all campaigns),PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,23,,14546,"VERY POPULAR (weeks per site-year).  Old, but good.  Marathon Trilogy is much better (but bigger)."
games PrisonPC,cytadela,Wolf3D clone,FAIL,Yes,No,,,No,,,42,,38953,"This is like freedom, but slower and uglier and bigger.  Also I cannot find the starting gun, so what even?  Prefer freedoom."
games fps PrisonPC,marathon-trilogy,,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,180,3,N/A,"Somewhere between Doom and Quake. Long campaign.  By default 3D acceleration is disabled, which also disables high-quality graphics."
games GNOME,gnome-2048,2048,PASS,,,,,,,,2,,4807,"VERY POPULAR (weeks per site-year).  Works great; hypnotic.  Maybe replace with online version?"
games puzzle,2048-qt,2048,FAIL,,,,,,,,6,,15557,"Prefer gnome-2048.  Smaller, prettier. This one has weird Japanese in it."
games arcade shootemup,maelstrom,Asteroids clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,24382,"VERY POPULAR (weeks per site-year)."
games tetris GNOME,quadrapassel,Tetris clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,4367,"VERY POPULAR (weeks per site-year).  No AI mode.  Basically functional.  Can maximize window."
games tetris KDE,kblocks,Tetris clone,FAIL,,No,,,,,,22,,11585,"Functional.  Ugly artwork.  Has 'vs AI' mode.  No 2P mode."
games tetris,gtetrinet,Tetris clone,FAIL,,,,,,,,1,,26121,"Online multiplayer version of tetris.  Do not want."
games tetris,galois,Tetris clone,FAIL,,,,,,,,1,,27298,"Basically OK, but prefer quadrapassel.  Has some unique features (triangle/hexagon modes), but not unique ENOUGH to be worth while."
games tetris,ltris,Tetris clone,FAIL,,,,,,,,9,,19440,"Ugly and shit.  We put up with this for lbreakout2 because there are few alternatives.  For Tetris, ltris is worse than quadrapassel."
--------------------,--------------------,POPULAR,----,----,----,----,----,----,----,----,----,----,----,--------------------
games arcade finest platform,supertux,Super Mario clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,160,,9099,"POPULAR (days per site-year).  Kind of big, but otherwise fine.  Also uses a bit more CPU than you'd expect..."
games finest strategy,freeciv,Civilization clone,PASS,,,,,,,,32,,21193,"This is the GTK3 UI.  There are worse GTK2/Qt/SDL UIs.  Needs freeciv-server and (optionally) freeciv-sound-standard, which grows cost from 28MB to 32MB.  'New Game' and 'New Scenario' hang in boot-test VM."
games finest strategy,freecol,Colonization clone,FAIL,,,,,,,,73,,17747,"Very similar to Civilization -- just thematic difference.  Needs java-wrappers which needs dpkg.  See https://github.com/cyberitsolutions/bootstrap2020/blob/twb/debian-11-PrisonPC.packages/prisonpc-ersatz/debian/control#L868-L877"
games PrisonPC,freeciv-client-extras,,FAIL,No,,,,,,,21,,28670,"This is a 'modpack installer'.  I don't think we care, unless/until we roll a 'PrisonPC addons' bundle."
games finest tetris,frozen-bubble,Puzzle Bobble clone,PASS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38,,11649,"POPULAR (days per site-year).  No maximize option.  Prefer browser version? e.g.  https://crazypiri.itch.io/puzzle-bobble"
