Section,Subsection,Name,Cost (MiB),Description
education,astronomy,astronomical-almanac,1,astronomical almanac - calculate planet and star positions
education,astronomy,gpredict,6,Satellite tracking program
education,astronomy,kstars,72,"desktop planetarium, observation planning and telescope control"
education,astronomy,lightspeed,1,Shows how objects moving at relativistic speeds look like
education,astronomy,openuniverse,5,3D Universe Simulator
education,astronomy,stellarium,200,real-time photo-realistic sky generator
education,astronomy,sunclock,2,fancy clock showing time and geographical data
education,astronomy,xplanet,1,planetary body renderer
education,astronomy,xplanet-images,1,imagery for xplanet
education,astronomy,xtide,7,provides tide and current predictions
education,astronomy,xtide-data,1,Harmonics data for xtide
education,chemistry,avogadro,35,Molecular Graphics and Modelling System
education,chemistry,chemtool,14,chemical structures drawing program
education,chemistry,easychem,1,Draw high-quality molecules and 2D chemical formulas
education,chemistry,gchempaint,17,2D chemical structures editor for the GNOME2 desktop
education,chemistry,gdis,2,molecular and crystal model viewer
education,chemistry,gperiodic,1,periodic table application
education,chemistry,kalzium,80,periodic table and chemistry tools
education,chemistry,pymol,17,Molecular Graphics System
education,chemistry,rasmol,3,visualization of biological macromolecules
education,desktop-xfce,blueman,ERROR,Graphical bluetooth manager
education,desktop-xfce,education-astronomy,1,Debian Edu astronomy related applications
education,desktop-xfce,education-chemistry,1,Debian Edu chemistry related applications
education,desktop-xfce,education-electronics,1,Debian Edu electronics related applications
education,desktop-xfce,education-geography,1,Debian Edu applications for geography
education,desktop-xfce,education-graphics,1,Debian Edu graphics related applications
education,desktop-xfce,education-language,1,Debian Edu language related educational applications
education,desktop-xfce,education-logic-games,1,Debian Edu logic games
education,desktop-xfce,education-mathematics,1,Debian Edu mathematical applications
education,desktop-xfce,education-misc,1,Debian Edu miscellaneous applications for education
education,desktop-xfce,education-music,1,Debian Edu music and sound applications
education,desktop-xfce,education-physics,1,Debian Edu physics related applications
education,desktop-xfce,education-primaryschool,1,Debian Edu applications for primary school level
education,desktop-xfce,education-video,1,Debian Edu video applications
education,desktop-xfce,kdeedu,380,educational applications from the official KDE release
education,desktop-xfce,onboard,1,Simple On-screen Keyboard
education,desktop-xfce,ssh-askpass,1,"under X, asks user for a passphrase for ssh-add"
education,desktop-xfce,task-xfce-desktop,ERROR,Xfce
education,electronics,electric,89,electrical CAD system
education,electronics,fritzing,18,Easy-to-use electronic design software
education,electronics,gnucap,1,"GNU Circuit Analysis package, main executable"
education,electronics,gpsim,2,Simulator for Microchip's PIC microcontrollers
education,electronics,gtkwave,3,VCD (Value Change Dump) file waveform viewer
education,electronics,kicad,64,Electronic schematic and PCB design software
education,electronics,kicad-doc-de,39,Kicad help files (German)
education,electronics,kicad-doc-en,25,Kicad help files (English)
education,electronics,kicad-doc-es,21,Kicad help files (Spanish)
education,electronics,kicad-doc-fr,27,Kicad help files (French)
education,electronics,oregano,ERROR,tool for schematical capture of electronic circuits
education,electronics,pcb,3,printed circuit board (pcb) design program - metapackage
