  Size Package
1.9GiB flightgear
1.8GiB flightgear-data-all
1.4GiB flightgear-data-base
1011MiB ufoai
944MiB sauerbraten
831MiB redeclipse
823MiB redeclipse-server
823MiB redeclipse-data
694MiB 0ad
692MiB nexuiz
692MiB nexuiz-server
690MiB nexuiz-data
670MiB 0ad-data
641MiB supertuxkart
635MiB supertuxkart-data
537MiB berusky2
535MiB berusky2-data
529MiB prisonpc-wesnoth-addons
488MiB alien-arena-server
483MiB alien-arena
482MiB alien-arena-data
435MiB nexuiz-textures
401MiB openarena
399MiB openarena-server
364MiB ufoai-server
362MiB ufoai-maps
347MiB widelands
341MiB naev
338MiB widelands-data
334MiB naev-data
329MiB openarena-data
321MiB ufoai-textures
320MiB torcs
318MiB torcs-data
298MiB ufoai-data
279MiB flightgear-data-ai
271MiB wesnoth-music
269MiB wesnoth
269MiB wesnoth-1.14
246MiB unknown-horizons
237MiB ember-media
231MiB megaglest-data
225MiB frogatto
220MiB freedroidrpg
215MiB frogatto-data
211MiB freedroidrpg-data
201MiB ufoai-music
199MiB endless-sky-high-dpi
173MiB cube2-data
157MiB hedgewars
156MiB wesnoth-1.14-trow
155MiB prisonpc-openttd-extras
150MiB supertux
150MiB wesnoth-1.14-httt
150MiB wesnoth-1.14-utbs
148MiB supertux-data
147MiB wesnoth-1.14-music
146MiB wesnoth-1.14-low
145MiB wesnoth-1.14-nr
144MiB wesnoth-1.14-tsg
144MiB wesnoth-1.14-aoi
144MiB wesnoth-1.14-sof
144MiB wesnoth-1.14-sotbe
144MiB wesnoth-1.14-sota
144MiB wesnoth-1.14-thot
143MiB wesnoth-1.14-ttb
143MiB wesnoth-1.14-ei
143MiB wesnoth-1.14-l
142MiB wesnoth-1.14-dm
142MiB wesnoth-1.14-did
142MiB wesnoth-1.14-dw
139MiB hedgewars-data
138MiB flightgear-data-models
137MiB wesnoth-core
137MiB wesnoth-1.14-core
137MiB prisonpc-warzone2100-addons
130MiB freeorion
128MiB flare-data
127MiB flare-game
127MiB wesnoth-1.14-tools
126MiB pianobooster
125MiB wesnoth-1.14-data
120MiB freeorion-data
117MiB openclonk
116MiB uqm-voice
116MiB trigger-rally
114MiB trigger-rally-data
108MiB openclonk-data
107MiB warmux
107MiB beneath-a-steel-sky
