Section,Subsection,Name,Verdict,Score,Cost (MiB),Rank,Description
education,astronomy,gpredict,TODO,94296,6,15716,Satellite tracking program
education,astronomy,kstars,TODO,1222158,98,12471,"desktop planetarium, observation planning and telescope control"
education,astronomy,lightspeed,FAIL,N/A,N/A,N/A,N/A
education,astronomy,openuniverse,TODO,120155,5,24031,3D Universe Simulator
education,astronomy,stellarium,TODO,2001500,250,8006,real-time photo-realistic sky generator
education,astronomy,sunclock,TODO,36214,2,18107,fancy clock showing time and geographical data
education,astronomy,xplanet,TODO,10596,1,10596,planetary body renderer
education,astronomy,xplanet-images,TODO,191331,1,191331,imagery for xplanet
education,astronomy,xtide,FAIL,N/A,N/A,N/A,N/A
education,astronomy,xtide-data,TODO,191480,1,191480,Harmonics data for xtide
education,chemistry,avogadro,TODO,99756,6,16626,Molecular Graphics and Modelling System
education,chemistry,chemtool,TODO,89788,4,22447,chemical structures drawing program
education,chemistry,easychem,TODO,24280,1,24280,Draw high-quality molecules and 2D chemical formulas
education,chemistry,gchempaint,TODO,327390,14,23385,2D chemical structures editor for the GNOME2 desktop
education,chemistry,gdis,TODO,45886,2,22943,molecular and crystal model viewer
education,chemistry,gperiodic,TODO,19912,1,19912,periodic table application
education,chemistry,kalzium,TODO,513314,46,11159,periodic table and chemistry tools
education,chemistry,pymol,TODO,287320,20,14366,Molecular Graphics System
education,chemistry,rasmol,FAIL,,ERROR,24149,visualization of biological macromolecules
education,desktop-xfce,education-astronomy,TODO,89023,1,89023,Debian Edu astronomy related applications
education,desktop-xfce,education-chemistry,TODO,89024,1,89024,Debian Edu chemistry related applications
education,desktop-xfce,education-electronics,TODO,89035,1,89035,Debian Edu electronics related applications
education,desktop-xfce,education-geography,TODO,89036,1,89036,Debian Edu applications for geography
education,desktop-xfce,education-graphics,TODO,89037,1,89037,Debian Edu graphics related applications
education,desktop-xfce,education-language,TODO,89044,1,89044,Debian Edu language related educational applications
education,desktop-xfce,education-logic-games,TODO,89046,1,89046,Debian Edu logic games
education,desktop-xfce,education-mathematics,TODO,89049,1,89049,Debian Edu mathematical applications
education,desktop-xfce,education-misc,TODO,89051,1,89051,Debian Edu miscellaneous applications for education
education,desktop-xfce,education-music,TODO,89052,1,89052,Debian Edu music and sound applications
