year of latest upload (to sid),source package (in bookworm)
2008,avrp
2008,gmemusage
2009,icmptx
2009,streamripper
2010,colortail
2010,gtk2-engines-cleanice
2010,xsettings-kde
2011,bs2b-ladspa
2011,cdcd
2011,dgen
2011,dynamite
2011,gliv
2011,gpr
2011,gromit
2011,gtkguitune
2011,guifications
2011,ipwatchd
2011,ipwatchd-gnotify
2011,libdata-streamserializer-perl
2011,libprintsys
2011,libspctag
2011,nullidentd
2011,oggfwd
2011,puf
2011,rovclock
2011,s3switch
2011,spacezero
2011,uapevent
2011,xkbind
2011,xlassie
2012,aggregate
2012,blahtexml
2012,cccd
2012,codfis
2012,cvsd
2012,display-dhammapada
2012,dnstop
2012,enum
2012,espctag
2012,fbautostart
2012,fuse-convmvfs
2012,gbemol
2012,gcx
2012,kbdd
2012,komi
2012,libdr-sundown-perl
2012,libencode-eucjpms-perl
2012,liboglappth
2012,logtop
2012,mumudvb
2012,nuttcp
2012,pam-tmpdir
2012,pavumeter
2012,pcal
2012,pidgin-mra
2012,rsstail
2012,rtfilter
2012,ruby-fast-xs
2012,sic
2012,tmfs
2012,uniutils
2012,utfout
2012,vorbisgain
2012,wmctrl
2012,xiterm+thai
2012,yforth
2012,yorick-curses
2012,yorick-imutil
2012,yorick-soy
2012,ztex-bmp
2013,abx
2013,apache-upload-progress-module
2013,away
2013,binutils-z80
2013,cultivation
2013,daemonlogger
2013,dfu-programmer
2013,digitools
2013,dov4l
2013,dzen2
2013,eot-utils
2013,etherwake
2013,fpgatools
2013,funnelweb
2013,glw
2013,gtimer
2013,gzrt
2013,i810switch
2013,jshon
2013,libapache2-mod-authn-sasl
2013,libapache2-mod-ldap-userdir
2013,libapache2-mod-xsendfile
2013,libdumb
2013,libimager-qrcode-perl
2013,libkaz
2013,libpam-pwdfile
2013,libstar-parser-perl
2013,lua-augeas
2013,mancala
2013,mod-vhost-ldap
2013,mopac7
2013,mspdebug
2013,multiwatch
2013,pidgin-latex
2013,premake4
2013,quadrule
2013,radeontool
2013,rarpd
2013,reminiscence
2013,tclodbc
2013,textdraw
2013,transcriber
2013,ttysnoop
2013,unagi
2013,upse
2013,w9wm
2013,wap-wml-tools
2013,winwrangler
2013,xfishtank
2013,xjobs
2013,xserver-xorg-video-glide
2013,xserver-xorg-video-ivtvdev
2013,yorick-gl
2014,android-androresolvd
2014,anomaly
2014,betaradio
2014,binutils-h8300-hms
2014,buffer
2014,couriergrey
2014,crashme
2014,ddate
2014,devilspie
2014,dhcp-probe
2014,duff
2014,dynamips
2014,fonts-larabie
2014,foo-yc20
2014,gnustep-netclasses
2014,gross
2014,gtk-theme-switch
2014,gtkhotkey
2014,gwaterfall
2014,input-utils
2014,jikespg
2014,kerneltop
2014,libaosd
2014,libapache2-mod-log-slow
2014,libapr-memcache
2014,libdata-streamdeserializer-perl
2014,libnss-pgsql
2014,lnpd
2014,lsdvd
2014,lx-gdb
2014,memchan
2014,minisat2
2014,moe-standard-fonts
2014,molds
2014,mpt-status
2014,mysecureshell
2014,netstat-nat
2014,nicstat
2014,nstreams
2014,obsession
2014,ossp-uuid
2014,p910nd
2014,pacman4console
2014,pdfcube
2014,penguin-command
2014,pgdbf
2014,pkcs11-data
2014,pkcs11-dump
2014,portsentry
2014,prctl
2014,qfits
2014,r-cran-mvnormtest
2014,ratmenu
2014,rsskit
2014,rudecgi
2014,scrub
2014,shntool
2014,spotlighter
2014,steptalk
2014,sysconftool
2014,systempreferences.app
2014,ttf2ufm
2014,tthsum
2014,tvoe
2014,udns
2014,udt
2014,unsort
2014,vanessa-adt
2014,vera++
2014,xbacklight
2014,xbomb
2014,xbuffy
2014,xcb-util-keysyms
2014,xcb-util-renderutil
2014,xf86-input-xwiimote
2014,xinput-calibrator
2014,xosd
2014,xshogi
2014,xzip
2015,antennavis
2015,apache2-mod-xforward
2015,astrometry-data-2mass
2015,care
2015,cputool
2015,crimson
2015,devil
2015,etoys
2015,festvox-don
2015,festvox-rablpc8k
2015,fheroes2-pkg
2015,fuseiso
2015,ggobi
2015,gsm0710muxd
2015,httptunnel
2015,inform
2015,libapache2-mod-geoip
2015,libchardet
2015,libgrss
2015,libidl
2015,libtext-chasen-perl
2015,libxpresent
2015,libxxf86vm
2015,libydpdict
2015,ministat
2015,misery
2015,mod-mono
2015,multimon
2015,netpipes
2015,nvram-wakeup
2015,psicode
2015,quarry
2015,randtype
2015,s51dude
2015,shhmsg
2015,sipgrep
2015,tcputils
2015,termdebug
2015,tgif
2015,treil
2015,tuxonice-userui
2015,uaputl
2015,unionfs-fuse
2015,vramsteg
2015,woff-tools
2015,x11-touchscreen-calibrator
2015,x52pro
2015,xdm
2015,xf86-input-mtrack
2015,xmbmon
2015,xserver-xorg-video-cirrus
2015,xtermset
2015,zmap
2016,aaphoto
2016,alsaplayer
2016,archivemount
2016,aseqjoy
2016,bindechexascii
2016,bls-standalone
2016,cbedic
2016,ccd2iso
2016,chrpath
2016,cookietool
2016,critterding
2016,ctorrent
2016,cups-pk-helper
2016,cutycapt
2016,debfoster
2016,didiwiki
2016,dvbackup
2016,dvgrab
2016,eja
2016,fair
2016,fairymax
2016,fillets-ng
2016,filter
2016,flexloader
2016,flexml
2016,flvmeta
2016,gbdfed
2016,gifshuffle
2016,gkrellm-volume
2016,glosstex
2016,grr.app
2016,gtk3-nocsd
2016,gtkglextmm
2016,hexcompare
2016,hwb
2016,i2util
2016,icmpinfo
2016,identity4c
2016,imapcopy
2016,ipv6pref
2016,isomaster
2016,jzip
2016,kinect-audio-setup
2016,ldapvi
2016,libasterisk-agi-perl
2016,libasyncns
2016,libavl
2016,libcmrt
2016,libdkim
2016,libdshconfig
2016,libftdi
2016,libgisi
2016,libircclient
2016,libjconv
2016,libnoise
2016,libpam-ufpidentity
2016,libr3
2016,libtelnet
2016,libtext-table-perl
2016,libtwin
2016,libvdpau-va-gl
2016,libzdb
2016,lua-iconv
2016,mactelnet
2016,miceamaze
2016,midicsv
2016,minimodem
2016,minizip
2016,mp3wrap
2016,mpgtx
2016,mpm-itk
2016,msi-keyboard
2016,multitee
2016,naspro-bridge-it
2016,netrw
2016,netsed
2016,nield
2016,obconf
2016,obexfs
2016,ondir
2016,paflib
2016,paps
2016,peg
2016,perl-byacc
2016,picon-usenix
2016,psurface
2016,publib
2016,pumpa
2016,qqwing
2016,quickplot
2016,renattach
2016,rolldice
2016,ruby-celluloid-io
2016,ruby-googlecharts
2016,ruby-ncurses
2016,ruby-pcaprub
2016,ruby-rpam-ruby19
2016,ruby-uconv
2016,safecat
2016,setop
2016,sfst
2016,sidplay-libs
2016,simpleproxy
2016,slrnface
2016,spellcast
2016,spellcast-doc
2016,splay
2016,src2tex
2016,stun
2016,subtle
2016,sweethome3d-furniture-nonfree
2016,taningia
2016,tcludp
2016,tclvfs
2016,tktray
2016,toga2
2016,tsocks
2016,txt2pdbdoc
2016,tzc
2016,udpcast
2016,urjtag
2016,ussp-push
2016,vdesk
2016,wdq2wav
2016,webfs
2016,windowlab
2016,x2vnc
2016,xlax
2016,xpat2
2016,xserver-xorg-input-keyboard
2016,yorick-hdf5
2016,yorick-ygsl
2017,animal-sniffer
2017,apg
2017,atinject-jsr330
2017,atom4
2017,audiotools
2017,bibcursed
2017,bitmeter
2017,black-box
2017,bucklespring
2017,bulletml
2017,casacore-data-igrf
2017,cgroupfs-mount
2017,codecrypt
2017,colorhug-client
2017,colorpicker
2017,commons-math3
2017,crafty
2017,curtain
2017,cvsps
2017,cynthiune.app
2017,cytadela
2017,dbeacon
2017,dbuskit
2017,dmg2img
2017,dpkg-awk
2017,drawterm
2017,dvi2dvi
2017,eancheck
2017,endless-sky-high-dpi
2017,esix
2017,excalibur-logger
2017,fastinfoset
2017,felix-main
2017,felix-shell
2017,felix-shell-tui
2017,festlex-poslex
2017,festvox-ellpc11k
2017,festvox-kallpc16k
2017,festvox-rablpc16k
2017,festvox-suopuhe-lj
2017,festvox-suopuhe-mv
2017,figlet
2017,filters
2017,fizmo-console
2017,fizmo-ncursesw
2017,fizmo-sdl2
2017,fizsh
2017,fonts-android
2017,fonts-ipafont-nonfree
2017,fonts-ipafont-nonfree-jisx0208
2017,fonts-mikachan
2017,fprobe
2017,freehep-chartableconverter-plugin
2017,freehep-export
2017,freehep-io
2017,freehep-swing
2017,freehep-util
2017,freehep-xml
2017,freewnn
2017,fswebcam
2017,garlic-doc
2017,geronimo-jta-1.2-spec
2017,geronimo-validation-1.0-spec
2017,geronimo-validation-1.1-spec
2017,gmrun
2017,gnome-icon-theme-nuovo
2017,golang-github-dop251-goja
2017,golang-github-google-certificate-transparency
2017,golang-github-jacobsa-syncutil
2017,golang-github-nebulouslabs-fastrand
2017,golang-github-olekukonko-ts
2017,golang-github-pelletier-go-buffruneio
2017,golang-github-pkg-profile
2017,golang-github-rubyist-tracerx
2017,golang-github-tideland-golib
2017,golang-godebiancontrol-dev
2017,gperf
2017,gpsmanshp
2017,gsl-ref-html
