POLICY,TYPE,PACKAGE,PATH,NOTES
SHOULD NOT,ethernet,firmware-misc-nonfree,"/lib/firmware/3com/typhoon.bin",https://github.com/torvalds/linux/blob/v6.5/drivers/net/ethernet/3com/typhoon.c
MUST NOT,radio,bluez-firmware,"/lib/firmware/BCM2033-FW.bin",
MUST NOT,radio,bluez-firmware,"/lib/firmware/BCM2033-MD.hex",
SHOULD NOT,camera,libfishcamp1,"/lib/firmware/Guider_mono_rev16_intel.srec",
MUST NOT,radio,firmware-realtek,"/lib/firmware/RTL8192E/boot.img",
MUST NOT,radio,firmware-realtek,"/lib/firmware/RTL8192E/data.img",
MUST NOT,radio,firmware-realtek,"/lib/firmware/RTL8192E/main.img",
MUST NOT,radio,bluez-firmware,"/lib/firmware/STLC2500_R4_00_03.ptc",
MUST NOT,radio,bluez-firmware,"/lib/firmware/STLC2500_R4_00_06.ssf",
MUST NOT,radio,bluez-firmware,"/lib/firmware/STLC2500_R4_02_02_WLAN.ssf",
MUST NOT,radio,bluez-firmware,"/lib/firmware/STLC2500_R4_02_04.ptc",
SHOULD NOT,server,firmware-misc-nonfree,"/lib/firmware/advansys/3550.bin",https://github.com/torvalds/linux/blob/v6.5/drivers/scsi/advansys.c
SHOULD NOT,server,firmware-misc-nonfree,"/lib/firmware/advansys/38C0800.bin",https://github.com/torvalds/linux/blob/v6.5/drivers/scsi/advansys.c
SHOULD NOT,server,firmware-misc-nonfree,"/lib/firmware/advansys/38C1600.bin",https://github.com/torvalds/linux/blob/v6.5/drivers/scsi/advansys.c
SHOULD NOT,server,firmware-misc-nonfree,"/lib/firmware/advansys/mcode.bin",https://github.com/torvalds/linux/blob/v6.5/drivers/scsi/advansys.c
MUST NOT,radio,firmware-misc-nonfree,"/lib/firmware/agere_ap_fw.bin",
MUST NOT,radio,firmware-misc-nonfree,"/lib/firmware/agere_sta_fw.bin",
MUST,cpu,amd64-microcode,"/lib/firmware/amd-ucode/microcode_amd.bin",
MUST,cpu,amd64-microcode,"/lib/firmware/amd-ucode/microcode_amd_fam15h.bin",
MUST,cpu,amd64-microcode,"/lib/firmware/amd-ucode/microcode_amd_fam16h.bin",
MUST,cpu,amd64-microcode,"/lib/firmware/amd-ucode/microcode_amd_fam17h.bin",
MUST,cpu,amd64-microcode,"/lib/firmware/amd-ucode/microcode_amd_fam19h.bin",
MUST,cpu,amd64-microcode,"/lib/firmware/amd/amd_sev_fam17h_model0xh.sbin",
MUST,cpu,amd64-microcode,"/lib/firmware/amd/amd_sev_fam17h_model3xh.sbin",
MUST,cpu,amd64-microcode,"/lib/firmware/amd/amd_sev_fam19h_model0xh.sbin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/aldebaran_mec.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/aldebaran_mec2.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/aldebaran_rlc.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/aldebaran_sdma.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/aldebaran_sjt_mec.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/aldebaran_sjt_mec2.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/aldebaran_smc.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/aldebaran_sos.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/aldebaran_ta.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/aldebaran_vcn.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/arcturus_asd.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/arcturus_gpu_info.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/arcturus_mec.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/arcturus_mec2.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/arcturus_rlc.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/arcturus_sdma.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/arcturus_smc.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/arcturus_sos.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/arcturus_ta.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/arcturus_vcn.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/banks_k_2_smc.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_ce.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_dmcub.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_me.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_mec.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_mec2.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_pfp.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_rlc.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_sdma.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_smc.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_sos.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_ta.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/beige_goby_vcn.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/bonaire_ce.bin",
SHOULD NOT,gpu,firmware-amd-graphics,"/lib/firmware/amdgpu/bonaire_k_smc.bin",
