Rank,Application,"Duration (6 months, all detainees)"
2760,Multimedia > Watch TV,9 years 6 mons 6 days 01:34:10
2682,NO APPLICATION,9 years 2 mons 28 days 20:54:40
2081,Multimedia > Media player,7 years 2 mons 3 days 08:27:50
633,Internet > Web Browser,2 years 2 mons 5 days 03:51:10
319,Games > Solitaire,1 year 1 mon 5 days 14:57:10
260,Graphics > Image Viewer,10 mons 22 days 19:47:20
178,Office > Word Processor (libreoffice),7 mons 11 days 07:32:30
125,Games > Warzone 2100,5 mons 5 days 01:04:20
119,Games > Elastomania clone,4 mons 28 days 06:51:40
110,Games > Mahjong Solitaire,4 mons 16 days 07:35:10
100,Games > The Battle for Wesnoth,4 mons 4 days 03:26:00
53,DOOM clone (all campaigns),2 mons 5 days 08:04:50
47,Games > Oxyd clone,1 mon 27 days 19:16:10
43,Games > Super Mario clone,1 mon 23 days 05:04:10
40,System > File Manager,1 mon 20 days 03:49:20
38,Accessories > Calculator,1 mon 17 days 11:19:30
36,Games > Transport Tycoon Deluxe clone,1 mon 14 days 13:19:50
34,Games > Asteroids clone,1 mon 12 days 14:17:10
33,Games > Project: Starfighter,1 mon 10 days 12:37:50
31,Taskbar,1 mon 8 days 07:58:30
30,Games > Chess,1 mon 6 days 23:45:40
29,Office > Dictionary,1 mon 6 days 04:25:50
23,Games > Sudoku,29 days 03:36:50
23,Games > Blob Wars : Metal Blob Solid,28 days 21:14:00
19,Games > Arkanoid (Breakout) clone,23 days 18:55:10
19,Games > Civilization clone,23 days 09:49:30
16,Office > Spreadsheet (libreoffice),19 days 11:34:20
13,Games > Tetris clone,16 days 04:02:00
11,Games > Lemmings clone,13 days 02:50:00
9,UNKNOWN APPLICATION,11 days 15:47:20
7,Office > Drawing Program (libreoffice),8 days 13:26:00
7,perl,8 days 06:35:10
7,Graphics > Photo Editor,8 days 02:30:40
6,Games > SimCity clone,7 days 06:05:10
6,Graphics > Vector Graphics Editor,7 days 04:34:00
5,Games > Minesweeper,6 days 11:46:10
5,LibreOffice,6 days 08:05:30
5,Education > Terrestrial Globe,5 days 23:30:40
5,Games > MiniGolf,5 days 16:38:30
3,Games > Worms clone,4 days 02:41:00
3,Games > Bosconian clone,3 days 19:12:50
2,Point-and-Click Adventure Games,2 days 19:44:20
2,Games > Connect4 clone,2 days 14:34:10
2,Games > Jezzball clone,2 days 05:58:10
2,Games > Nikwi Deluxe,2 days 05:13:50
2,Education > Typing Tutor,1 day 21:21:30
1,Games > Bomberman clone,1 day 18:41:10
1,Games > Tetris Attack clone,1 day 17:18:50
1,Games > Tron,1 day 09:35:30
1,Exo-desktop-item-edit,1 day 06:05:40
1,Games > BurgerTime clone,1 day 02:30:40
1,Games > Raiden clone,1 day 01:02:50
1,libreoffice-startcenter (libreoffice),1 day 00:06:00
1,Education > Japanese/English Dictionary,23:37:00
1,Games > Liero,20:55:20
1,Office > Presentation (libreoffice),19:22:10
1,kgeography,18:23:40
1,Games > Edutainment Suite — GCompris,17:36:50
1,Games > Zarathrusta clone,17:33:30
1,NPhysics,15:54:40
0,Graphics > Computer Aided Design (CAD),14:53:20
0,Games > Qonk,14:00:40
0,Accessories > Find Files,13:53:40
0,knavalbattle,12:52:10
0,Office > Finance Management,11:00:40
0,Education > KStars,10:42:10
0,Accessories > Help,10:33:20
0,Games > Edutainment Suite — Child’s Play,10:20:40
0,Settings > Appearance,09:41:50
0,Office > Project Planner,09:13:00
0,Graphics > Diagram Editor,07:44:30
0,Games > Paradroid clone,07:24:00
0,Education > Periodic Table,06:13:00
0,Settings > Window Manager,05:38:20
0,Settings > Mouse and Touchpad,05:25:30
0,Games > Atomix,04:49:00
0,step,04:14:00
0,Settings > Display,03:43:20
0,Settings > Password Reset,03:17:20
0,Wrapper-1.0,03:11:30
0,khangman,03:01:00
0,Volume (systray applet),02:39:30
0,Settings > Factory Reset,02:21:30
0,Allegro,02:14:20
0,Graphics > Desktop Publishing — Scribus,02:07:30
0,Settings > Keyboard,02:01:30
0,Multimedia > Audacity,01:46:30
0,Accessories > Screenshot,01:28:00
0,kig,01:25:10
0,Education > SPSS Statistics clone,01:19:10
0,kbruch,01:16:10
0,Helper-dialog,01:10:20
0,Interactive Fiction Games (GLULX),01:09:50
0,Settings > Accessibility,01:07:50
0,Exo-helper-1,00:53:40
0,Settings > Notifications,00:52:50
0,Interactive Fiction Games (Inform),00:27:10
0,Education > Graphics Calculator,00:12:40
0,Log Out,00:12:30
0,Thunar-volman,00:10:10
0,Migrate,00:05:00
0,Gnome-help,00:03:20
0,eventlist.py,00:02:20
0,Kig,00:02:10
0,Gvncviewer,00:01:00
0,Accessories > Archive Manager,00:01:00
0,Kbruch,00:00:50
0,libreoffice-math (libreoffice),00:00:50
0,Tadsr,00:00:40
0,Advsys,00:00:20
0,System > Terminal Emulator,00:00:10
0,Exo-open,00:00:10
