quarter,"Duration (3 months, all detainees, all apps)"
2018Q1,13 years 1 mon 18 days 22:24:40
2018Q2,20 years 3 mons 24 days 19:49:10
2018Q3,18 years 10 mons 27 days 07:21:30
2018Q4,17 years 5 mons 7 days 16:41:40
2019Q1,16 years 9 mons 9 days 06:47:00
2019Q2,18 years 10 mons 6 days 04:21:50
2019Q3,17 years 6 mons 24 days 19:19:30
2019Q4,16 years 5 mons 5 days 18:20:10
2020Q1,10 years 9 mons 2 days 09:31:40
2020Q2,16 years 10 mons 20 days 20:26:50
2020Q3,16 years 3 mons 10 days 04:07:30
2020Q4,14 years 21 days 16:06:00
2021Q1,10 years 1 mon 10 days 03:01:30
2021Q2,15 years 5 mons 17 days 19:15:50
2021Q3,13 years 15:50:20
2021Q4,14 years 11 mons 6 days 06:52:20
2022Q1,10 years 2 mons 2 days 15:08:40
2022Q2,13 years 1 mon 28 days 20:03:40
2022Q3,10 years 2 mons 14 days 05:26:10
2022Q4,14 years 3 mons 15 days 06:26:30
2023Q1,15 years 9 mons 26 days 20:09:40
2023Q2,16 years 7 mons 15 days 16:33:40
2023Q3,15 years 10 mons 29 days 00:08:40
2023Q4,14 years 6 mons 23 days 15:13:00
2024Q1,12 years 11 mons 21:00:30
2024Q2,6 years 2 mons 11 days 23:52:30
2024Q3,10 years 7 mons 16 days 03:25:10
2024Q4,10 years 9 mons 9 days 18:35:30
2025Q1,10 years 2 mons 29 days 04:50:30
2025Q2,10 years 11 mons 17 days 13:55:40
